file,n,mean_nn,mean_bpm,sd_nn,RMSSD,pNN20,pNN50
o01.csv,7168,1011,59.3,48,15.5,13,0.6
o02.csv,6796,1062,56.5,33.7,15,12.6,0.4
o03.csv,7203,1004,59.8,47.9,23.7,26.9,3.1
o04.csv,6213,1163,51.6,116.3,118.1,40.3,12.5
o05.csv,5725,1088,55.2,43.2,11.3,6,0.1
o06.csv,6216,1168,51.4,23.9,19.9,24.6,0.7
o07.csv,7035,1014,59.2,50.7,27,33.2,4.6
o08.csv,8462,850,70.6,43.8,24.2,32.6,3.4
o09.csv,4731,1483,40.4,94.4,66.5,67.9,35.1
o10.csv,8238,880,68.2,57.3,20.9,27.7,2
y01.csv,8705,830,72.3,93,91.9,75.3,47
y02.csv,6916,1031,58.2,98.5,71.3,71.7,44.8
y03.csv,7641,952,63,65.8,34.5,49.2,13.7
y04.csv,5485,1314,45.7,122.6,105.8,85.2,66.9
y05.csv,6943,1048,57.3,101.7,53.2,65.4,27.8
y06.csv,7072,1020,58.8,101.6,55.9,63.4,29.1
y07.csv,5916,1217,49.3,201,134.9,82,62.8
y08.csv,7286,1000,60,93.2,51.9,63.6,29.4
y09.csv,8012,900,66.6,87.7,40.8,54.3,18.7
y10.csv,8676,833,72,88.9,64,66.2,33.5
